Rk;Player;Pos;Age;Tm;g;mp_per_g;pts_per_g;trb_per_g;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
285;Trey Lyles\lylestr01;PF;24;SAS;35;17.08571429;4.771428571;5.828571429;1.228571429;0.257142857;0.314285714;.405;.337;.682;25;598;62;153;.405;28;83;.337;34;70;.486;.497;15;22;.682;41;163;204;43;9;11;21;44;167
286;Daryl Macon\maconda01;SG;24;MIA;4;3.5;0.75;0;0.25;0;0;.333;.500;;0;14;1;3;.333;1;2;.500;0;1;.000;.500;0;0;;0;0;0;1;0;0;2;1;3
287;Josh Magette\magetjo01;PG;30;ORL;6;2.5;1.166666667;0.5;0.333333333;0.333333333;0;.375;;.500;0;15;3;8;.375;0;0;;3;8;.375;.375;1;2;.500;1;2;3;2;2;0;4;0;7
288;Ian Mahinmi\mahinia01;C;33;WAS;16;21.5;7.5625;5.6875;1.1875;0.75;1.625;.518;.231;.556;13;344;44;85;.518;3;13;.231;41;72;.569;.535;30;54;.556;37;54;91;19;12;26;23;48;121
289;Thon Maker\makerth01;C;22;DET;36;11.02777778;3.722222222;1.944444444;0.416666667;0.305555556;0.5;.512;.370;.623;3;397;43;84;.512;10;27;.370;33;57;.579;.571;38;61;.623;22;48;70;15;11;18;23;49;134
290;Terance Mann\mannte01;SG;23;LAC;22;9.227272727;2.363636364;1.136363636;1.272727273;0.272727273;0.136363636;.500;.222;.800;5;203;21;42;.500;2;9;.222;19;33;.576;.524;8;10;.800;3;22;25;28;6;3;12;26;52
291;Boban Marjanović\marjabo01;C;31;DAL;18;9.444444444;5;4.055555556;0.444444444;0.111111111;0.166666667;.543;.000;.700;1;170;38;70;.543;0;4;.000;38;66;.576;.543;14;20;.700;19;54;73;8;2;3;14;29;90
292;Lauri Markkanen\markkla01;PF;22;CHI;37;30.27027027;15.43243243;6.675675676;1.594594595;0.864864865;0.540540541;.423;.350;.827;37;1120;191;452;.423;84;240;.350;107;212;.505;.515;105;127;.827;45;202;247;59;32;20;62;72;571
293;Caleb Martin\martica02;SF;24;CHO;5;6.4;1.8;1;0.6;0.2;0.4;.300;.000;.600;0;32;3;10;.300;0;3;.000;3;7;.429;.300;3;5;.600;1;4;5;3;1;2;3;3;9
294;Cody Martin\martico01;SF;24;CHO;29;14.72413793;4.034482759;2.620689655;1.172413793;0.75862069;0.172413793;.408;.211;.690;0;427;40;98;.408;8;38;.211;32;60;.533;.449;29;42;.690;17;59;76;34;22;5;17;43;117
295;Kelan Martin\martike03;SF;24;MIN;17;17.35294118;5.764705882;3.411764706;0.529411765;0.176470588;0.294117647;.358;.263;1.000;3;295;39;109;.358;15;57;.263;24;52;.462;.427;5;5;1.000;5;53;58;9;3;5;6;32;98
296;Frank Mason\masonfr01;PG;25;MIL;4;4.5;1.25;0.5;1.25;0.25;0;.143;.250;.500;0;18;1;7;.143;1;4;.250;0;3;.000;.214;2;4;.500;1;1;2;5;1;0;1;2;5
297;Garrison Mathews\mathega01;SG;23;WAS;15;13.06666667;6.2;1.533333333;0.666666667;0.2;0.066666667;.460;.429;.906;0;196;23;50;.460;18;42;.429;5;8;.625;.640;29;32;.906;6;17;23;10;3;1;7;26;93
298;Wesley Matthews\matthwe02;SG;33;MIL;35;24.11428571;7.742857143;2.4;1.371428571;0.714285714;0.171428571;.422;.376;.795;35;844;92;218;.422;56;149;.376;36;69;.522;.550;31;39;.795;7;77;84;48;25;6;24;52;271
299;Patrick McCaw\mccawpa01;SF;24;TOR;16;26.875;6.125;2.5625;1.9375;1.25;0.0625;.424;.350;.750;10;430;39;92;.424;14;40;.350;25;52;.481;.500;6;8;.750;8;33;41;31;20;1;17;28;98
300;CJ McCollum\mccolcj01;SG;28;POR;37;36.48648649;21.94594595;4.297297297;3.837837838;0.810810811;0.648648649;.453;.365;.802;37;1350;324;716;.453;95;260;.365;229;456;.502;.519;69;86;.802;28;131;159;142;30;24;68;95;812
301;T.J. McConnell\mccontj01;PG;27;IND;35;18.71428571;7;2.685714286;5.285714286;0.628571429;0.142857143;.512;.364;.826;0;655;111;217;.512;4;11;.364;107;206;.519;.521;19;23;.826;19;75;94;185;22;5;50;37;245
302;Jalen McDaniels\mcdanja01;PF;22;CHO;2;3.5;2;0.5;0;0;0;.400;.000;;0;7;2;5;.400;0;1;.000;2;4;.500;.400;0;0;;1;0;1;0;0;0;0;0;4
303;Doug McDermott\mcderdo01;PF;28;IND;37;20.81081081;9.540540541;2.621621622;1.054054054;0.108108108;0.081081081;.468;.453;.808;0;770;132;282;.468;68;150;.453;64;132;.485;.589;21;26;.808;16;81;97;39;4;3;25;66;353
304;JaVale McGee\mcgeeja01;C;32;LAL;37;16.51351351;6.891891892;5.783783784;0.648648649;0.540540541;1.675675676;.624;.667;.659;37;611;113;181;.624;2;3;.667;111;178;.624;.630;27;41;.659;70;144;214;24;20;62;28;88;255
305;Rodney McGruder\mcgruro01;SG;28;LAC;26;16.80769231;3.769230769;2.846153846;0.615384615;0.5;0.230769231;.394;.315;.500;2;437;37;94;.394;17;54;.315;20;40;.500;.484;7;14;.500;15;59;74;16;13;6;9;44;98
306;Alfonzo McKinnie\mckinal01;SF;27;CLE;23;10.95652174;2.739130435;2.130434783;0.173913043;0.347826087;0.130434783;.353;.286;.636;0;252;24;68;.353;8;28;.286;16;40;.400;.412;7;11;.636;15;34;49;4;8;3;11;27;63
307;Jordan McLaughlin\mclaujo01;PG;23;MIN;6;15.66666667;5;1.666666667;2.666666667;0.833333333;0;.344;.267;1.000;0;94;11;32;.344;4;15;.267;7;17;.412;.406;4;4;1.000;1;9;10;16;5;0;5;6;30
308;Ben McLemore\mclembe01;SG;26;HOU;35;23.57142857;9.828571429;2.4;0.942857143;0.685714286;0.228571429;.404;.354;.800;8;825;112;277;.404;84;237;.354;28;40;.700;.556;36;45;.800;13;71;84;33;24;8;29;71;344
309;Jordan McRae\mcraejo01;SG;28;WAS;20;22.25;13;3.25;2.8;0.7;0.55;.438;.446;.789;2;445;91;208;.438;33;74;.446;58;134;.433;.517;45;57;.789;10;55;65;56;14;11;25;42;260
310;Nicolò Melli\mellini01;C;29;NOP;26;14.23076923;5.076923077;2.346153846;1;0.538461538;0.192307692;.394;.307;.767;3;370;43;109;.394;23;75;.307;20;34;.588;.500;23;30;.767;14;47;61;26;14;5;18;45;132
311;De'Anthony Melton\meltode01;PG;21;MEM;27;16.92592593;7.555555556;3.851851852;2.814814815;1.296296296;0.259259259;.452;.319;.891;0;457;70;155;.452;15;47;.319;55;108;.509;.500;49;55;.891;22;82;104;76;35;7;39;51;204
312;Chimezie Metu\metuch01;PF;22;SAS;11;3.727272727;2.727272727;1.545454545;0.272727273;0.090909091;0.272727273;.591;;.667;0;41;13;22;.591;0;0;;13;22;.591;.591;4;6;.667;8;9;17;3;1;3;1;1;30
313;Khris Middleton\middlkh01;SF;28;MIL;31;28.38709677;18.67741935;5.64516129;3.806451613;0.935483871;0.193548387;.476;.389;.901;28;880;216;454;.476;65;167;.389;151;287;.526;.547;82;91;.901;28;147;175;118;29;6;64;72;579
314;C.J. Miles\milescj01;SG;32;WAS;10;16.1;6.4;1.2;1.2;1;0.4;.322;.314;.750;0;161;19;59;.322;11;35;.314;8;24;.333;.415;15;20;.750;4;8;12;12;10;4;4;14;64
315;Malcolm Miller\millema01;SF;26;TOR;20;5.5;0.9;0.7;0.4;0.2;0.1;.316;.333;.167;1;110;6;19;.316;5;15;.333;1;4;.250;.447;1;6;.167;1;13;14;8;4;2;3;10;18
316;Patty Mills\millspa02;PG;31;SAS;35;23.17142857;11.65714286;1.571428571;2.057142857;0.828571429;0.142857143;.443;.418;.790;1;811;139;314;.443;81;194;.418;58;120;.483;.572;49;62;.790;10;45;55;72;29;5;34;51;408
317;Paul Millsap\millspa01;PF;34;DEN;32;24.9375;11.875;5.8125;1.40625;0.875;0.6875;.468;.413;.885;32;798;132;282;.468;31;75;.413;101;207;.488;.523;85;96;.885;64;122;186;45;28;22;42;90;380
318;Shake Milton\miltosh01;SG;23;PHI;11;9;4.090909091;1.363636364;0.727272727;0.090909091;0.090909091;.366;.227;.769;0;99;15;41;.366;5;22;.227;10;19;.526;.427;10;13;.769;2;13;15;8;1;1;13;15;45
319;Donovan Mitchell\mitchdo01;SG;23;UTA;36;35.02777778;24.97222222;4.5;4.388888889;1.083333333;0.277777778;.462;.360;.840;36;1261;336;727;.462;80;222;.360;256;505;.507;.517;147;175;.840;27;135;162;158;39;10;89;86;899
320;Naz Mitrou-Long\mitrona01;SG;26;IND;3;14.33333333;4.666666667;2;2.333333333;0.333333333;0.333333333;.375;.182;;0;43;6;16;.375;2;11;.182;4;5;.800;.438;0;0;;0;6;6;7;1;1;2;1;14
321;Adam Mokoka\mokokad01;G;21;CHI;2;3;0;1;0;0;0;.000;.000;;0;6;0;5;.000;0;2;.000;0;3;.000;.000;0;0;;2;0;2;0;0;0;0;0;0
322;Malik Monk\monkma01;SG;21;CHO;38;19.84210526;8.710526316;2.710526316;1.947368421;0.473684211;0.210526316;.426;.263;.820;0;754;127;298;.426;36;137;.263;91;161;.565;.487;41;50;.820;16;87;103;74;18;8;48;54;331
323;E'Twaun Moore\mooreet01;SG;30;NOP;25;20.76;10.12;3.16;1.64;0.6;0.12;.425;.400;.630;3;519;99;233;.425;38;95;.400;61;138;.442;.506;17;27;.630;18;61;79;41;15;3;15;42;253
324;Ja Morant\moranja01;PG;20;MEM;32;29.375;17.84375;3.1875;6.59375;0.96875;0.28125;.485;.397;.797;32;940;212;437;.485;29;73;.397;183;364;.503;.518;118;148;.797;19;83;102;211;31;9;106;56;571
325;Juwan Morgan\morgaju01;PF;22;UTA;5;3.2;0;0.6;0.2;0;0.2;.000;.000;;0;16;0;1;.000;0;1;.000;0;0;;.000;0;0;;0;3;3;1;0;1;1;2;0
326;Marcus Morris\morrima03;SF;30;NYK;33;31.72727273;19.06060606;5.545454545;1.515151515;0.848484848;0.454545455;.438;.469;.830;33;1047;206;470;.438;90;192;.469;116;278;.417;.534;127;153;.830;38;145;183;50;28;15;54;99;629
327;Markieff Morris\morrima02;PF;30;DET;31;22.51612903;10.83870968;3.935483871;1.677419355;0.612903226;0.225806452;.470;.411;.745;15;698;124;264;.470;53;129;.411;71;135;.526;.570;35;47;.745;17;105;122;52;19;7;53;71;336
328;Monte Morris\morrimo01;PG;24;DEN;36;17.63888889;7.277777778;1.611111111;3.194444444;0.666666667;0.222222222;.445;.415;.778;0;635;106;238;.445;22;53;.415;84;185;.454;.492;28;36;.778;10;48;58;115;24;8;21;28;262
329;Johnathan Motley\motlejo01;PF;24;LAC;7;2.428571429;1.285714286;0.285714286;0.714285714;0.428571429;0;.600;1000;1.000;0;17;3;5;.600;1;1;1.000;2;4;.500;.700;2;2;1.000;1;1;2;5;3;0;4;5;9
330;Emmanuel Mudiay\mudiaem01;PG;23;UTA;33;16.57575758;7.393939394;2.606060606;2.333333333;0.333333333;0.212121212;.475;.340;.766;0;547;96;202;.475;16;47;.340;80;155;.516;.515;36;47;.766;11;75;86;77;11;7;51;51;244
331;Dejounte Murray\murrade01;PG;23;SAS;31;23.80645161;10.48387097;5.806451613;4.129032258;1.741935484;0.290322581;.487;.349;.793;23;738;132;271;.487;15;43;.349;117;228;.513;.515;46;58;.793;37;143;180;128;54;9;68;74;325
332;Jamal Murray\murraja01;PG;22;DEN;36;32.22222222;17.83333333;4.166666667;4.777777778;1.361111111;0.305555556;.440;.335;.915;36;1160;237;539;.440;61;182;.335;176;357;.493;.496;107;117;.915;30;120;150;172;49;11;78;64;642
333;Džanan Musa\musadz01;SF;20;BRK;26;13.07692308;4.538461538;1.961538462;1.038461538;0.384615385;0.038461538;.354;.208;.771;0;340;40;113;.354;11;53;.208;29;60;.483;.403;27;35;.771;10;41;51;27;10;1;24;19;118
334;Mike Muscala\muscami01;C;28;OKC;23;10.34782609;3.217391304;2.173913043;0.695652174;0.217391304;0.130434783;.304;.254;.917;0;238;24;79;.304;15;59;.254;9;20;.450;.399;11;12;.917;9;41;50;16;5;3;6;26;74
335;Sviatoslav Mykhailiuk\mykhasv01;SF;22;DET;33;19.36363636;7.212121212;1.393939394;1.545454545;0.606060606;0.060606061;.403;.430;.792;9;639;79;196;.403;61;142;.430;18;54;.333;.559;19;24;.792;8;38;46;51;20;2;34;43;238
336;Abdel Nader\naderab01;SF;26;OKC;29;16.79310345;6.413793103;1.586206897;0.655172414;0.379310345;0.344827586;.471;.384;.788;5;487;66;140;.471;28;73;.384;38;67;.567;.571;26;33;.788;8;38;46;19;11;10;26;42;186
337;Larry Nance\nancela02;C;27;CLE;31;24.32258065;8.032258065;7;1.516129032;0.806451613;0.483870968;.492;.337;.667;5;754;97;197;.492;29;86;.337;68;111;.613;.566;26;39;.667;51;166;217;47;25;15;30;48;249
338;Shabazz Napier\napiesh01;PG;28;MIN;23;21.43478261;9.652173913;2.434782609;4.173913043;1.173913043;0.260869565;.395;.274;.827;9;493;75;190;.395;29;106;.274;46;84;.548;.471;43;52;.827;6;50;56;96;27;6;45;34;222
339;Raul Neto\netora01;PG;27;PHI;30;11.16666667;3.933333333;1.033333333;1.466666667;0.466666667;0.066666667;.490;.421;.750;2;335;48;98;.490;16;38;.421;32;60;.533;.571;6;8;.750;5;26;31;44;14;2;26;22;118
340;Georges Niang\niangge01;PF;26;UTA;30;12.43333333;5.1;1.833333333;0.433333333;0.166666667;0.1;.478;.462;.700;0;373;55;115;.478;36;78;.462;19;37;.514;.635;7;10;.700;6;49;55;13;5;3;13;40;153
341;Nerlens Noel\noelne01;C;25;OKC;34;18.38235294;7.676470588;5.088235294;1.235294118;1.058823529;1.529411765;.660;;.808;3;625;101;153;.660;0;0;;101;153;.660;.660;59;73;.808;57;116;173;42;36;52;35;85;261
342;Zach Norvell\norveza01;SG;22;LAL;2;2.5;0;0.5;0;0;0;.000;;;0;5;0;1;.000;0;0;;0;1;.000;.000;0;0;;0;1;1;0;0;0;0;0;0
343;Jaylen Nowell\nowelja01;SG;20;MIN;7;11.57142857;4.428571429;0.714285714;0.857142857;0;0.142857143;.355;.118;.875;0;81;11;31;.355;2;17;.118;9;14;.643;.387;7;8;.875;2;3;5;6;0;1;3;3;31
344;Frank Ntilikina\ntilila01;PG;21;NYK;35;22.31428571;5.942857143;2.114285714;3.142857143;1.057142857;0.371428571;.390;.330;.844;24;781;76;195;.390;29;88;.330;47;107;.439;.464;27;32;.844;13;61;74;110;37;13;45;93;208
345;Kendrick Nunn\nunnke01;SG;24;MIA;36;30.58333333;15.44444444;2.833333333;3.694444444;0.916666667;0.194444444;.438;.340;.800;36;1101;220;502;.438;72;212;.340;148;290;.510;.510;44;55;.800;10;92;102;133;33;7;66;86;556
346;David Nwaba\nwabada01;SF;27;BRK;20;13.4;5.2;2.25;0.4;0.55;0.6;.521;.429;.667;0;268;37;71;.521;12;28;.429;25;43;.581;.606;18;27;.667;8;37;45;8;11;12;8;32;104
347;Royce O'Neale\onealro01;PF;26;UTA;36;29.44444444;6.277777778;4.861111111;2.472222222;0.833333333;0.277777778;.469;.436;.778;33;1060;82;175;.469;48;110;.436;34;65;.523;.606;14;18;.778;6;169;175;89;30;10;31;106;226
348;Kyle O'Quinn\oquinky01;C;29;PHI;19;10.26315789;3.210526316;3.736842105;1.473684211;0.105263158;0.789473684;.491;.333;.375;1;195;26;53;.491;6;18;.333;20;35;.571;.547;3;8;.375;22;49;71;28;2;15;17;25;61
349;Semi Ojeleye\ojelese01;PF;25;BOS;32;14.5625;2.5;1.78125;0.46875;0.375;0.0625;.384;.370;.700;4;466;28;73;.384;17;46;.370;11;27;.407;.500;7;10;.700;10;47;57;15;12;2;6;37;80
350;Jahlil Okafor\okafoja01;C;24;NOP;21;16.38095238;7.761904762;4.428571429;1.380952381;0.238095238;0.714285714;.611;.500;.638;8;344;66;108;.611;1;2;.500;65;106;.613;.616;30;47;.638;34;59;93;29;5;15;31;55;163
351;Elie Okobo\okoboel01;PG;22;PHO;28;11.32142857;4.928571429;1.142857143;2.142857143;0.428571429;0.107142857;.442;.415;.644;1;317;46;104;.442;17;41;.415;29;63;.460;.524;29;45;.644;6;26;32;60;12;3;13;22;138
352;Josh Okogie\okogijo01;SG;21;MIN;34;23.61764706;7.588235294;4.441176471;1.411764706;0.911764706;0.411764706;.377;.253;.768;12;803;80;212;.377;22;87;.253;58;125;.464;.429;76;99;.768;43;108;151;48;31;14;51;71;258
353;KZ Okpala\okpalkz01;SF;20;MIA;3;1;0;0.333333333;0;0;0;;;;0;3;0;0;;0;0;;0;0;;;0;0;;0;1;1;0;0;0;1;0;0
354;Kelly Olynyk\olynyke01;C;28;MIA;35;20.08571429;7.714285714;4.542857143;1.2;0.685714286;0.285714286;.447;.415;.882;0;703;88;197;.447;49;118;.415;39;79;.494;.571;45;51;.882;28;131;159;42;24;10;40;91;270
355;Miye Oni\onimi01;SG;22;UTA;3;2.666666667;0;0.333333333;0;0;0;;;;0;8;0;0;;0;0;;0;0;;;0;0;;0;1;1;0;0;0;1;0;0
356;Cedi Osman\osmande01;SF;24;CLE;37;28.97297297;10.62162162;3.216216216;2.108108108;0.918918919;0.324324324;.442;.379;.633;37;1072;148;335;.442;66;174;.379;82;161;.509;.540;31;49;.633;16;103;119;78;34;12;51;83;393
357;Kelly Oubre\oubreke01;SF;24;PHO;37;33.75675676;18.21621622;6.108108108;1.675675676;1.486486486;0.702702703;.460;.356;.790;37;1249;239;520;.460;68;191;.356;171;329;.520;.525;128;162;.790;46;180;226;62;55;26;57;119;674
358;Jabari Parker\parkeja01;PF;24;ATL;32;26.15625;15;5.96875;1.8125;1.3125;0.46875;.504;.270;.736;23;837;198;393;.504;31;115;.270;167;278;.601;.543;53;72;.736;54;137;191;58;42;15;60;93;480
359;Chandler Parsons\parsoch01;SF;31;ATL;5;10.8;2.8;1.4;0.6;0.8;0.2;.278;.286;;0;54;5;18;.278;4;14;.286;1;4;.250;.389;0;0;;1;6;7;3;4;1;3;3;14
360;Eric Paschall\pascher01;PF;23;GSW;33;27.66666667;14;4.515151515;1.727272727;0.424242424;0.303030303;.490;.288;.775;20;913;174;355;.490;21;73;.288;153;282;.543;.520;93;120;.775;43;106;149;57;14;10;52;61;462
361;Anžejs Pasečņiks\pasecan01;C;24;WAS;11;21;7.727272727;6.272727273;1;0.363636364;0.363636364;.515;.000;.586;0;231;34;66;.515;0;1;.000;34;65;.523;.515;17;29;.586;26;43;69;11;4;4;13;42;85
362;Patrick Patterson\pattepa01;PF;30;LAC;33;14.42424242;5.303030303;3;0.757575758;0.181818182;0.090909091;.406;.385;.708;15;476;58;143;.406;42;109;.385;16;34;.471;.552;17;24;.708;25;74;99;25;6;3;11;26;175
363;Justin Patton\pattoju01;C;22;OKC;2;4.5;1;1;0;0;0;.333;.000;;0;9;1;3;.333;0;1;.000;1;2;.500;.333;0;0;;0;2;2;0;0;0;1;4;2
364;Chris Paul\paulch01;PG;34;OKC;37;31.94594595;16.64864865;5.054054054;6.459459459;1.540540541;0.135135135;.470;.373;.905;37;1182;211;449;.470;60;161;.373;151;288;.524;.537;134;148;.905;12;175;187;239;57;5;77;89;616
365;Elfrid Payton\paytoel01;PG;25;NYK;19;24.68421053;8.157894737;4.052631579;5.947368421;1.473684211;0.368421053;.413;.265;.519;10;469;66;160;.413;9;34;.265;57;126;.452;.441;14;27;.519;22;55;77;113;28;7;37;37;155
366;Gary Payton\paytoga02;G;27;WAS;8;23.75;6;4.75;3;2.25;0.375;.426;.333;.500;6;190;20;47;.426;6;18;.333;14;29;.483;.489;2;4;.500;10;28;38;24;18;3;10;15;48
367;Norvel Pelle\pelleno01;SF;26;PHI;8;9.5;2.25;2.75;0.625;0;1.25;.583;;.667;0;76;7;12;.583;0;0;;7;12;.583;.583;4;6;.667;5;17;22;5;0;10;6;16;18
368;Theo Pinson\pinsoth01;SG;24;BRK;24;13.25;4.708333333;1.875;1.916666667;0.458333333;0.083333333;.296;.197;.938;0;318;42;142;.296;14;71;.197;28;71;.394;.345;15;16;.938;9;36;45;46;11;2;31;31;113
369;Mason Plumlee\plumlma01;C;29;DEN;36;17.19444444;6.805555556;5.472222222;2.305555556;0.583333333;0.694444444;.573;.000;.557;1;619;98;171;.573;0;4;.000;98;167;.587;.573;49;88;.557;63;134;197;83;21;25;53;78;245
370;Vincent Poirier\poirivi01;C;26;BOS;9;4.888888889;1.666666667;1.666666667;0.333333333;0.222222222;0.222222222;.500;;.500;0;44;7;14;.500;0;0;;7;14;.500;.500;1;2;.500;8;7;15;3;2;2;3;10;15
371;Jakob Pöltl\poeltja01;C;24;SAS;35;17.82857143;5.257142857;5.657142857;1.8;0.514285714;1.371428571;.602;;.533;7;624;80;133;.602;0;0;;80;133;.602;.602;24;45;.533;68;130;198;63;18;48;30;59;184
372;Shamorie Ponds\pondssh01;PG;21;TOR;4;2.75;2.25;0.25;0.5;0;0.25;.600;.500;1.000;0;11;3;5;.600;1;2;.500;2;3;.667;.700;2;2;1.000;0;1;1;2;0;1;0;2;9
373;Jordan Poole\poolejo01;SG;20;GSW;31;21.4516129;7.032258065;1.870967742;1.806451613;0.677419355;0.225806452;.261;.239;.850;9;665;67;257;.261;33;138;.239;34;119;.286;.325;51;60;.850;4;54;58;56;21;7;31;50;218
374;Kevin Porter\porteke02;SF;19;CLE;34;21.82352941;8.5;3.294117647;1.941176471;0.852941176;0.176470588;.439;.297;.727;2;742;111;253;.439;27;91;.297;84;162;.519;.492;40;55;.727;12;100;112;66;29;6;59;89;289
375;Michael Porter\portemi01;PF;21;DEN;27;10.7037037;6;2.888888889;0.481481481;0.111111111;0.407407407;.540;.372;.706;1;289;67;124;.540;16;43;.372;51;81;.630;.605;12;17;.706;24;54;78;13;3;11;19;38;162
376;Otto Porter\porteot01;SF;26;CHI;9;25.11111111;11.22222222;3.444444444;1.555555556;1;0.333333333;.417;.400;.750;9;226;35;84;.417;16;40;.400;19;44;.432;.512;15;20;.750;8;23;31;14;9;3;7;20;101
377;Bobby Portis\portibo01;C;24;NYK;37;20.83783784;9.864864865;5.567567568;1.27027027;0.567567568;0.243243243;.440;.382;.750;2;771;142;323;.440;42;110;.382;100;213;.469;.505;39;52;.750;53;153;206;47;21;9;38;67;365
378;Kristaps Porziņģis\porzikr01;PF;24;DAL;31;31.22580645;17.25806452;9.387096774;1.451612903;0.580645161;2.129032258;.403;.343;.725;31;968;190;472;.403;68;198;.343;122;274;.445;.475;87;120;.725;54;237;291;45;18;66;52;94;535
379;Dwight Powell\poweldw01;C;28;DAL;33;26.57575758;8.696969697;5.424242424;1.424242424;0.939393939;0.606060606;.608;.265;.667;30;877;110;181;.608;9;34;.265;101;147;.687;.633;58;87;.667;59;120;179;47;31;20;28;87;287
380;Norman Powell\powelno01;SG;26;TOR;27;28.88888889;14.37037037;3.888888889;1.703703704;1.111111111;0.407407407;.493;.389;.826;16;780;140;284;.493;51;131;.389;89;153;.582;.583;57;69;.826;15;90;105;46;30;11;43;52;388
381;Julius Randle\randlju01;PF;25;NYK;37;32.10810811;18.48648649;9.081081081;3.243243243;0.72972973;0.243243243;.449;.286;.697;37;1188;250;557;.449;44;154;.286;206;403;.511;.488;140;201;.697;80;256;336;120;27;9;108;101;684
382;Josh Reaves\reavejo02;G;22;DAL;2;0.5;0;0;0;0;0;.000;;;0;1;0;1;.000;0;0;;0;1;.000;.000;0;0;;0;0;0;0;0;0;0;0;0
