Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2019-20,71,5584,2752,2832,.493,46,11,0,1
Atlanta Hawks,NBA,1968-69,2019-20,52,4166,2054,2112,.493,33,5,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2019-20,74,5753,3400,2353,.591,56,31,9,17
Brooklyn Nets,NBA/ABA,1967-68,2019-20,53,4252,1840,2412,.433,27,5,2,2
Brooklyn Nets,NBA,2012-13,2019-20,8,604,258,346,.427,4,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2019-20,30,2364,1040,1324,.440,10,0,0,0
Charlotte Hornets,NBA,2014-15,2019-20,6,444,205,239,.462,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2019-20,54,4329,2217,2112,.512,35,9,6,6
Cleveland Cavaliers,NBA,1970-71,2019-20,50,4001,1857,2144,.464,22,7,5,1
Dallas Mavericks,NBA,1980-81,2019-20,40,3180,1592,1588,.501,21,3,2,1
Denver Nuggets,NBA/ABA,1967-68,2019-20,53,4252,2137,2115,.503,34,11,0,0
Denver Nuggets,NBA,1976-77,2019-20,44,3508,1724,1784,.491,25,8,0,0
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2019-20,72,5646,2745,2901,.486,42,11,5,3
Detroit Pistons,NBA,1957-58,2019-20,63,5027,2432,2595,.484,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2019-20,74,5753,2781,2972,.483,35,12,6,6
Golden State Warriors,NBA,1971-72,2019-20,49,3921,1893,2028,.483,18,7,6,4
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2019-20,53,4247,2246,2001,.529,33,7,4,2
Houston Rockets,NBA,1971-72,2019-20,49,3919,2127,1792,.543,32,7,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2019-20,53,4253,2192,2061,.515,35,9,1,3
Indiana Pacers,NBA,1976-77,2019-20,44,3509,1765,1744,.503,26,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2019-20,50,4003,1633,2370,.408,14,2,0,0
Los Angeles Clippers,NBA,1984-85,2019-20,36,2855,1188,1667,.416,11,2,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2019-20,72,5646,3357,2289,.595,60,32,18,16
Los Angeles Lakers,NBA,1960-61,2019-20,60,4807,2900,1907,.603,49,28,18,11
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2019-20,25,1952,804,1148,.412,10,0,0,0
Memphis Grizzlies,NBA,2001-02,2019-20,19,1492,703,789,.471,10,0,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,.220,0,0,0,0
Miami Heat,NBA,1988-89,2019-20,32,2525,1317,1208,.522,20,13,5,3
Milwaukee Bucks,NBA,1968-69,2019-20,52,4167,2157,2010,.518,31,14,2,1
Minnesota Timberwolves,NBA,1989-90,2019-20,31,2442,972,1470,.398,9,1,0,0
New Orleans Pelicans,NBA,2002-03,2019-20,18,1410,652,758,.462,7,1,0,0
New Orleans Pelicans,NBA,2013-14,2019-20,7,524,233,291,.445,2,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,.470,0,0,0,0
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,.474,5,1,0,0
New York Knicks,NBA/BAA,1946-47,2019-20,74,5753,2786,2967,.484,42,8,4,2
Oklahoma City Thunder,NBA,1967-68,2019-20,53,4247,2299,1948,.541,31,11,4,1
Oklahoma City Thunder,NBA,2008-09,2019-20,12,917,554,363,.604,9,5,1,0
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,.524,22,6,3,1
Orlando Magic,NBA,1989-90,2019-20,31,2443,1172,1271,.480,15,6,2,0
Philadelphia 76ers,NBA,1949-50,2019-20,71,5584,2880,2704,.516,49,11,5,3
Philadelphia 76ers,NBA,1963-64,2019-20,57,4571,2304,2267,.504,35,8,5,2
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2019-20,52,4165,2197,1968,.527,29,6,2,0
Portland Trail Blazers,NBA,1970-71,2019-20,50,4002,2148,1854,.537,35,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2019-20,72,5646,2574,3072,.456,29,5,0,1
Sacramento Kings,NBA,1985-86,2019-20,35,2771,1168,1603,.422,10,2,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1967-68,2019-20,53,4252,2552,1700,.600,47,22,6,5
San Antonio Spurs,NBA,1976-77,2019-20,44,3508,2174,1334,.620,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2019-20,25,1951,923,1028,.473,11,6,1,1
Utah Jazz,NBA,1974-75,2019-20,46,3673,1983,1690,.540,28,9,2,0
Utah Jazz,NBA,1979-80,2019-20,41,3263,1822,1441,.558,28,9,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1961-62,2019-20,59,4727,2137,2590,.452,29,8,4,1
Washington Wizards,NBA,1997-98,2019-20,23,1786,759,1027,.425,8,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,.225,0,0,0,0
